id;name
1;А-Гуарда
2;Аах
3;Аба
4;Абадан
5;Абадес
6;Абадиано
7;Абадсалок
8;Абаза
9;Абай
10;Абакалики
11;Абакан
12;Абанилья
13;Абанкай
14;Абанто-и-Сьервана
15;Абаран
16;Абасири
17;Абауйсанто
18;Абаша
19;Абботсфорд
20;Абботтабад
21;Абватунбулива
22;Абвиль
23;Абдали
24;Абдалла-Мубарак-эль-Саба
25;Абдул-Хаким
26;Абдулино
27;Абегондо
28;Абенберг
29;Абенгуру
30;Абенсберг
31;Абеокута
32;Аберавон
33;Аберайрон
34;Абербаргойд
35;Абергавенни
36;Абергеле
37;Абердин
38;Абердэр
39;Аберистуит
40;Аберкарн
41;Абертамы
42;Абехорраль
43;Абеше
44;Абиджан
45;Абико
46;Абилин
47;Абим
48;Абингдон
49;Абинск
50;Абнуб
51;Абовян
52;Абомей
53;Абомей-Калави
54;Абонь
55;Абосо
56;Абра-Пампа
57;Абрантиш
58;Абрего
59;Абрера
60;Абрикот
61;Абрияки
62;Абруд
63;Абу-Даби
64;Абу-Кебир
65;Абу-Куркас
66;Абу-Рудейс
67;Абу-Самра
68;Абу-Тиг
69;Абу-Тишт
70;Абу-Хаммад
71;Абу-Хулайфа
72;Абу-Хуммус
73;Абу-эль-Матамир
74;Абуджа
75;Абури
76;Абха
77;Абхайнагар
78;Абья-Палуоя
79;Ава
80;Авадзи
81;Авали
82;Авалон
83;Аванос
84;Авантипора
85;Авара
86;Аваси
87;Августов
88;Августусбург
89;Авдеевка
90;Авейль
91;Авейру
92;Авеллино
93;Авельянеда
94;Аверса
95;Авила
96;Авилес
97;Авиниссери
98;Авиньон
99;Ависсавелла
100;Авка
101;Авондейл
102;Авриг
103;Авсаллар
104;Ага
105;Агадес
106;Агадир
107;Агайлджхара
108;Агано
109;Агарак
110;Агаро
111;Агартала
112;Агбовиль
113;Агд
114;Агдаш
115;Агджабеди
116;Агеда
117;Агео
118;Агидель
119;Агилар-де-Кампоо
120;Агиларес
121;Агилас
122;Агнита
123;Агно
124;Агого
125;Агона-Сведру
126;Агра
127;Аградо
128;Агридженто
129;Агринион
130;Агры
131;Агрыз
132;Агуа-де-Диос
133;Агуада
134;Агуадас
135;Агуакалиэнте
136;Агуалва-Касен
137;Агуарай
138;Агуаскальентес
139;Агуасуль
140;Агуачика
141;Агура-Хиллз
142;Агустин-Кодасси
143;Ад-Дулайл
144;Ада
145;Адак
146;Адаладж
147;Адам
148;Адамдигхи
149;Адамов
150;Адан
151;Адана
152;Адапазары
153;Адари
154;Адда-Дуэни
155;Адди-Грат
156;Адди-Куала
157;Адди-Кэйих
158;Адди-Текелезан
159;Аддис-Абеба
160;Адду
161;Аделаида
162;Аделанто
163;Адель-Багру
164;Адельсхайм
165;Аден
166;Аденау
167;Адента-Ист
168;Аджарлар
169;Аджаялат
170;Адждабия
171;Аджигабул
172;Аджим
173;Аджипаям
174;Аджлун
175;Аджман
176;Аджмер
177;Аджмиригандж
178;Аджра
179;Аджуд
180;Адзумино
181;Адиверна
182;Адилабад
183;Адильджеваз
184;Адитмари
185;Адитяна
186;Адияра
187;Адлисвиль
188;Адо-Экити
189;Адольфо-Гонсалес-Чавес
190;Адони
191;Адорф
192;Адра
